cand_id,raion_id,obl_id,mentality,candidate_pop_total,obl_total_pop,x0_19,x20_24,x25_29,x30_39,x40_64,x65,postcode,longitude,lattitude,mentality_intensity,urbanization_category
akmola sela,akmola,akmola,inbetween,483442,852985,148196,36721,37123,67087,151591,42724,NA,69,52,0.687,Села
aktobe sela,aktobe,aktobe,kaz,388121,822688,136154,36684,33457,53552,103082,25192,NA,57.1667,50.2833,0.983,Села
almaty sela,almaty,almaty,kaz,1644549,NA,566228,142004,158100,248020,431932,98265,NA,78,45,0.908,Села
atyrau sela,atyrau,atyrau,kaz,298100,1378288,113192,28085,27154,41509,73447,14713,NA,51.8833,47.1167,1,Села
jambyl sela,jambyl,jambyl,kaz,691835,NA,282276,56366,56167,94004,166637,36386,NA,72,44,0.923,Села
karaganda sela,karaganda,karaganda,kaz,369803,2788653,118347,29178,28669,49956,107629,36024,NA,71,48,0.759,Села
kostanai sela,kostanai,kostanai,inbetween,535040,581468,145101,44046,45182,75871,171887,52953,NA,63.6333,53.2,0.687,Села
kyzylorda sela,kyzylorda,kyzylorda,kaz,480453,NA,197418,41471,39376,66449,113024,22715,NA,64,45,0.988,Села
mangystau sela,mangystau,mangystau,kaz,294036,NA,125019,26823,29084,44553,59063,9494,NA,52,43.8667,0.983,Села
pavlodar sela,pavlodar,pavlodar,inbetween,234342,755640,69978,18264,17477,31575,70941,26107,NA,76.95,52.3,0.69,Села
sko sela,sko,sko,inbetween,366646,1395271,103244,22369,23613,50374,127695,39351,NA,69.1667,54.8833,0.687,Села
uko sela,uko,uko,kaz,1794317,1548354,812633,154360,143689,229227,378180,76228,NA,68.5,43,0.939,Села
vko sela,vko,vko,kaz,670998,736528,204034,43651,47168,93356,214269,68520,NA,82.6167,49.95,0.821,Села
zko sela,zko,zko,kaz,316976,881452,103650,27045,26575,42535,93984,23187,NA,51.3667,51.2333,0.983,Села
Актюбинск,Актобе Г.А.,aktobe,kaz,387945,822688,109453,46097,41139,57451,101797,19481,30000,57.18,50.3,0.944439016,Крупные города
Алматы,Алматы,almaty_city,megapolis,1548354,1548354,387508,177537,173792,245851,407138,102877,50000,76.54,43.15,NA,Мегаполисы
Астана,Астана,astana,megapolis,852985,852985,241706,81861,105931,155223,196704,30186,10000,71.43,51.18,NA,Мегаполисы
г. Аксай,Бурлинский район,zko,inbetween,33493,629932,10124,2512,3147,5685,10407,1767,90300,53,51.17,0.752952862,Средние/Мелкие города
г. Аксу,Аксу Г.А.,pavlodar,rus,42781,755640,12588,3177,3553,6902,15239,3875,140100,76.9,52.07,0.002000008,Средние/Мелкие города
г. Ақтау,mangystau,mangystau,kaz,182394,NA,67021,16351,18088,27302,46588,7043,130000,51.17,43.65,1,Крупные города
г. Арыс,Арысь Г.А.,uko,kaz,42604,2788653,20107,3104,2495,4869,9760,1445,160100,68.8,42.43,1,Средние/Мелкие города
г. Атырау,Атырау Г.А.,atyrau,kaz,204013,581468,73867,18493,21614,31697,53918,10110,60000,51.88,47.12,1,Крупные города
г. Байқоңыр,kyzylorda,kyzylorda,kaz,39347,NA,15500,3375,3178,5543,10131,1620,101503,63.33,45.67,1,Средние/Мелкие города
г. Балхаш Г.А.,Балхаш Г.А.,karaganda,inbetween,71620,1378288,23154,6549,6631,12120,23423,6125,100300,75,46.85,0.465625145,Средние/Мелкие города
г. Екибастуз,Экибастуз Г.А.,pavlodar,rus,132448,755640,38518,10463,12677,21853,46817,8537,141200,75.32,51.72,0.002000023,Средние/Мелкие города
г. Жаңаөзен,mangystau,mangystau,kaz,110989,NA,41107,9779,10849,16574,28410,4271,130200,52.8,43.3,1,Средние/Мелкие города
г. Жаркент,almaty,almaty,kaz,43119,NA,14786,3433,3707,6242,11992,2960,41300,80.01,44.17,0.875,Средние/Мелкие города
г. Жезказган Г.А.,Жезказган Г.А.,karaganda,inbetween,85194,1378288,26093,6874,6781,12533,25933,5982,100600,67.77,47.78,0.430426055,Средние/Мелкие города
